Typical Measured Spectrum of Semrock FF01-607/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
481.4	1.9588e-07
481.6	1.9904e-07
481.8	2.0224e-07
482.0	2.0481e-07
482.2	2.0524e-07
482.4	2.0568e-07
482.6	2.0611e-07
482.8	2.0655e-07
483.0	2.0699e-07
483.2	2.0743e-07
483.4	2.0787e-07
483.6	2.0831e-07
483.8	2.0875e-07
484.0	2.0919e-07
484.2	2.0964e-07
484.4	2.1008e-07
484.6	2.1053e-07
484.8	2.1097e-07
485.0	2.1142e-07
485.2	2.1187e-07
485.4	2.1232e-07
485.6	2.1277e-07
485.8	2.1322e-07
486.0	2.1367e-07
486.2	2.1413e-07
486.4	2.1458e-07
486.6	2.1504e-07
486.8	2.1549e-07
487.0	2.1586e-07
487.2	2.1597e-07
487.4	2.1608e-07
487.6	2.1618e-07
487.8	2.1629e-07
488.0	2.1639e-07
488.2	2.165e-07
488.4	2.1661e-07
488.6	2.1671e-07
488.8	2.1682e-07
489.0	2.1693e-07
489.2	2.1703e-07
489.4	2.1714e-07
489.6	2.1724e-07
489.8	2.1735e-07
490.0	2.1746e-07
490.2	2.1756e-07
490.4	2.1767e-07
490.6	2.1778e-07
490.8	2.1788e-07
491.0	2.1799e-07
491.2	2.181e-07
491.4	2.182e-07
491.6	2.1831e-07
491.8	2.1842e-07
492.0	2.1817e-07
492.2	2.1679e-07
492.4	2.1542e-07
492.6	2.1405e-07
492.8	2.127e-07
493.0	2.1135e-07
493.2	2.1002e-07
493.4	2.0869e-07
493.6	2.0737e-07
493.8	2.0606e-07
494.0	2.0475e-07
494.2	2.0346e-07
494.4	2.0217e-07
494.6	2.0089e-07
494.8	1.9962e-07
495.0	1.9836e-07
495.2	1.971e-07
495.4	1.9586e-07
495.6	1.9462e-07
495.8	1.9339e-07
496.0	1.9216e-07
496.2	1.9095e-07
496.4	1.8974e-07
496.6	1.8854e-07
496.8	1.8735e-07
497.0	1.8642e-07
497.2	1.8631e-07
497.4	1.8619e-07
497.6	1.8608e-07
497.8	1.8597e-07
498.0	1.8585e-07
498.2	1.8574e-07
498.4	1.8562e-07
498.6	1.8551e-07
498.8	1.854e-07
499.0	1.8528e-07
499.2	1.8517e-07
499.4	1.8506e-07
499.6	1.8494e-07
499.8	1.8483e-07
500.0	1.8472e-07
500.2	1.846e-07
500.4	1.8449e-07
500.6	1.8438e-07
500.8	1.8426e-07
501.0	1.8415e-07
501.2	1.8404e-07
501.4	1.8393e-07
501.6	1.8381e-07
501.8	1.837e-07
502.0	1.8312e-07
502.2	1.8104e-07
502.4	1.7899e-07
502.6	1.7696e-07
502.8	1.7495e-07
503.0	1.7296e-07
503.2	1.71e-07
503.4	1.6905e-07
503.6	1.6713e-07
503.8	1.6524e-07
504.0	1.6336e-07
504.2	1.6151e-07
504.4	1.5967e-07
504.6	1.5786e-07
504.8	1.5607e-07
505.0	1.5429e-07
505.2	1.5254e-07
505.4	1.5081e-07
505.6	1.491e-07
505.8	1.4741e-07
506.0	1.4573e-07
506.2	1.4408e-07
